# Time-averaged data for fix 2
# TimeStep c_v[1] c_v[2] c_v[3] c_v[4]
665 0.0305273 -0.0492942 0.00363848 -0.0151284
670 0.189066 0.0283741 0.111502 0.328943
675 0.341931 0.109363 0.22841 0.679704
680 0.480702 0.189723 0.347743 1.01817
685 0.597338 0.265558 0.462355 1.32525
690 0.684781 0.333412 0.565091 1.58328
695 0.737612 0.390802 0.649523 1.77794
700 0.75293 0.435819 0.710618 1.89937
705 0.730865 0.466617 0.745054 1.94254
710 0.673887 0.48139 0.75122 1.9065
715 0.585526 0.47848 0.728673 1.79268
720 0.470478 0.456943 0.677469 1.60489
725 0.335159 0.416483 0.598103 1.34975
730 0.187284 0.35757 0.492022 1.03688
735 0.0349067 0.281926 0.362634 0.679466
740 -0.114114 0.192894 0.215634 0.294414
745 -0.252763 0.0952028 0.0582743 -0.0992854
750 -0.374765 -0.00612763 -0.101259 -0.482151
755 -0.474655 -0.106439 -0.255412 -0.836507
760 -0.548234 -0.201286 -0.398121 -1.14764
765 -0.592524 -0.28653 -0.52449 -1.40354
770 -0.605937 -0.358585 -0.630306 -1.59483
775 -0.588753 -0.414786 -0.71206 -1.7156
780 -0.543778 -0.453638 -0.767008 -1.76442
785 -0.47609 -0.474829 -0.793201 -1.74412
790 -0.392288 -0.479206 -0.789835 -1.66133
795 -0.299701 -0.468366 -0.757708 -1.52578
800 -0.205328 -0.443951 -0.69935 -1.34863
805 -0.114914 -0.407403 -0.619004 -1.14132
810 -0.0326027 -0.35997 -0.522105 -0.914678
815 0.0389303 -0.302726 -0.414723 -0.678519
820 0.0979144 -0.237101 -0.30325 -0.442437
825 0.143113 -0.164596 -0.193975 -0.215458
830 0.173686 -0.0872441 -0.092573 -0.0061307
835 0.189404 -0.00789933 -0.00387874 0.177626
840 0.190687 0.0695894 0.0687542 0.329031
845 0.17804 0.141206 0.1234 0.442646
850 0.151842 0.203681 0.1601 0.515623
855 0.113317 0.254539 0.181154 0.549011
860 0.0652752 0.291853 0.190391 0.547519
865 0.0117482 0.314027 0.192002 0.517777
870 -0.0422359 0.320203 0.189976 0.467942
875 -0.0909918 0.310583 0.187568 0.407159
880 -0.129056 0.286503 0.187172 0.344619
885 -0.152221 0.250519 0.190168 0.288467
890 -0.158555 0.206465 0.196745 0.244655
895 -0.148573 0.158947 0.205809 0.216184
900 -0.125221 0.11218 0.215726 0.202685
905 -0.0933671 0.0692783 0.224447 0.200358
910 -0.0583143 0.0322052 0.229373 0.203264
915 -0.0249558 0.00211049 0.227958 0.205113
920 0.0030505 -0.0204039 0.218377 0.201023
925 0.023803 -0.0349679 0.199624 0.18846
930 0.0368718 -0.041341 0.17185 0.16738
935 0.0429832 -0.0399031 0.136061 0.139141
940 0.043602 -0.0320638 0.0937656 0.105304
945 0.0400348 -0.0192137 0.0467016 0.0675227
950 0.033419 -0.00240119 -0.00338928 0.0276285
